144=0.564706, 0.564706, 0.564706
145=0.568627, 0.568627, 0.568627
146=0.572549, 0.572549, 0.572549
147=0.576471, 0.576471, 0.576471
148=0.580392, 0.580392, 0.580392
149=0.584314, 0.584314, 0.584314
150=0.588235, 0.588235, 0.588235
151=0.592157, 0.592157, 0.592157
152=0.596078, 0.596078, 0.596078
153=0.6, 0.6, 0.6
154=0.603922, 0.603922, 0.603922
155=0.607843, 0.607843, 0.607843
156=0.611765, 0.611765, 0.611765
157=0.615686, 0.615686, 0.615686
158=0.619608, 0.619608, 0.619608
159=0.623529, 0.623529, 0.623529
160=0.627451, 0.627451, 0.627451
161=0.631373, 0.631373, 0.631373
162=0.635294, 0.635294, 0.635294
163=0.639216, 0.639216, 0.639216
164=0.643137, 0.643137, 0.643137
165=0.647059, 0.647059, 0.647059
166=0.65098, 0.65098, 0.65098
167=0.654902, 0.654902, 0.654902
168=0.658824, 0.658824, 0.658824
169=0.662745, 0.662745, 0.662745
170=0.666667, 0.666667, 0.666667
171=0.670588, 0.670588, 0.670588
172=0.67451, 0.67451, 0.67451
173=0.678431, 0.678431, 0.678431
174=0.682353, 0.682353, 0.682353
175=0.686275, 0.686275, 0.686275
176=0.690196, 0.690196, 0.690196
177=0.694118, 0.694118, 0.694118
178=0.698039, 0.698039, 0.698039
179=0.701961, 0.701961, 0.701961
180=0.705882, 0.705882, 0.705882
181=0.709804, 0.709804, 0.709804
182=0.713726, 0.713726, 0.713726
183=0.717647, 0.717647, 0.717647
184=0.721569, 0.721569, 0.721569
185=0.72549, 0.72549, 0.72549
186=0.729412, 0.729412, 0.729412
187=0.733333, 0.733333, 0.733333
188=0.737255, 0.737255, 0.737255
189=0.741176, 0.741176, 0.741176
190=0.745098, 0.745098, 0.745098
191=0.74902, 0.74902, 0.74902
192=0.752941, 0.752941, 0.752941
193=0.756863, 0.756863, 0.756863
194=0.760784, 0.760784, 0.760784
195=0.764706, 0.764706, 0.764706
196=0.768627, 0.768627, 0.768627
197=0.772549, 0.772549, 0.772549
198=0.776471, 0.776471, 0.776471
199=0.780392, 0.780392, 0.780392
200=0.784314, 0.784314, 0.784314
201=0.788235, 0.788235, 0.788235
202=0.792157, 0.792157, 0.792157
203=0.796078, 0.796078, 0.796078
204=0.8, 0.8, 0.8
205=0.803922, 0.803922, 0.803922
206=0.807843, 0.807843, 0.807843
207=0.811765, 0.811765, 0.811765
208=0.815686, 0.815686, 0.815686
209=0.819608, 0.819608, 0.819608
210=0.823529, 0.823529, 0.823529
211=0.827451, 0.827451, 0.827451
212=0.831373, 0.831373, 0.831373
213=0.835294, 0.835294, 0.835294
214=0.839216, 0.839216, 0.839216
215=0.843137, 0.843137, 0.843137
216=0.847059, 0.847059, 0.847059
217=0.85098, 0.85098, 0.85098
218=0.854902, 0.854902, 0.854902
219=0.858824, 0.858824, 0.858824
220=0.862745, 0.862745, 0.862745
221=0.866667, 0.866667, 0.866667
222=0.870588, 0.870588, 0.870588
223=0.87451, 0.87451, 0.87451
224=0.878431, 0.878431, 0.878431
225=0.882353, 0.882353, 0.882353
226=0.886275, 0.886275, 0.886275
227=0.890196, 0.890196, 0.890196
228=0.894118, 0.894118, 0.894118
229=0.898039, 0.898039, 0.898039
230=0.901961, 0.901961, 0.901961
231=0.905882, 0.905882, 0.905882
232=0.909804, 0.909804, 0.909804
233=0.913725, 0.913725, 0.913725
234=0.917647, 0.917647, 0.917647
235=0.921569, 0.921569, 0.921569
236=0.92549, 0.92549, 0.92549
237=0.929412, 0.929412, 0.929412
238=0.933333, 0.933333, 0.933333
239=0.937255, 0.937255, 0.937255
240=0.941176, 0.941176, 0.941176
241=0.945098, 0.945098, 0.945098
242=0.94902, 0.94902, 0.94902
243=0.952941, 0.952941, 0.952941
244=0.956863, 0.956863, 0.956863
245=0.960784, 0.960784, 0.960784
246=0.964706, 0.964706, 0.964706
247=0.968627, 0.968627, 0.968627
248=0.972549, 0.972549, 0.972549
249=0.976471, 0.976471, 0.976471
250=0.980392, 0.980392, 0.980392
251=0.984314, 0.984314, 0.984314
252=0.988235, 0.988235, 0.988235
253=0.992157, 0.992157, 0.992157
254=0.996078, 0.996078, 0.996078
255=1, 1, 1
