132=0.205912, 0.205912, 0.205912
133=0.209675, 0.209675, 0.209675
134=0.213479, 0.213479, 0.213479
135=0.217322, 0.217322, 0.217322
136=0.221206, 0.221206, 0.221206
137=0.22513, 0.22513, 0.22513
138=0.229094, 0.229094, 0.229094
139=0.233098, 0.233098, 0.233098
140=0.237143, 0.237143, 0.237143
141=0.241229, 0.241229, 0.241229
142=0.245355, 0.245355, 0.245355
143=0.249523, 0.249523, 0.249523
144=0.253731, 0.253731, 0.253731
145=0.25798, 0.25798, 0.25798
146=0.262271, 0.262271, 0.262271
147=0.266603, 0.266603, 0.266603
148=0.270977, 0.270977, 0.270977
149=0.275392, 0.275392, 0.275392
150=0.279848, 0.279848, 0.279848
151=0.284347, 0.284347, 0.284347
152=0.288887, 0.288887, 0.288887
153=0.29347, 0.29347, 0.29347
154=0.298094, 0.298094, 0.298094
155=0.302761, 0.302761, 0.302761
156=0.30747, 0.30747, 0.30747
157=0.312221, 0.312221, 0.312221
158=0.317016, 0.317016, 0.317016
159=0.321852, 0.321852, 0.321852
160=0.326732, 0.326732, 0.326732
161=0.331654, 0.331654, 0.331654
162=0.33662, 0.33662, 0.33662
163=0.341628, 0.341628, 0.341628
164=0.34668, 0.34668, 0.34668
165=0.351775, 0.351775, 0.351775
166=0.356914, 0.356914, 0.356914
167=0.362095, 0.362095, 0.362095
168=0.367321, 0.367321, 0.367321
169=0.37259, 0.37259, 0.37259
170=0.377904, 0.377904, 0.377904
171=0.383261, 0.383261, 0.383261
172=0.388662, 0.388662, 0.388662
173=0.394107, 0.394107, 0.394107
174=0.399597, 0.399597, 0.399597
175=0.40513, 0.40513, 0.40513
176=0.410709, 0.410709, 0.410709
177=0.416332, 0.416332, 0.416332
178=0.421999, 0.421999, 0.421999
179=0.427711, 0.427711, 0.427711
180=0.433469, 0.433469, 0.433469
181=0.439271, 0.439271, 0.439271
182=0.445118, 0.445118, 0.445118
183=0.45101, 0.45101, 0.45101
184=0.456948, 0.456948, 0.456948
185=0.46293, 0.46293, 0.46293
186=0.468959, 0.468959, 0.468959
187=0.475033, 0.475033, 0.475033
188=0.481152, 0.481152, 0.481152
189=0.487317, 0.487317, 0.487317
190=0.493528, 0.493528, 0.493528
191=0.499786, 0.499786, 0.499786
192=0.506089, 0.506089, 0.506089
193=0.512438, 0.512438, 0.512438
194=0.518833, 0.518833, 0.518833
195=0.525275, 0.525275, 0.525275
196=0.531763, 0.531763, 0.531763
197=0.538298, 0.538298, 0.538298
198=0.544879, 0.544879, 0.544879
199=0.551507, 0.551507, 0.551507
200=0.558182, 0.558182, 0.558182
201=0.564903, 0.564903, 0.564903
202=0.571672, 0.571672, 0.571672
203=0.578488, 0.578488, 0.578488
204=0.58535, 0.58535, 0.58535
205=0.592261, 0.592261, 0.592261
206=0.599218, 0.599218, 0.599218
207=0.606223, 0.606223, 0.606223
208=0.613275, 0.613275, 0.613275
209=0.620376, 0.620376, 0.620376
210=0.627523, 0.627523, 0.627523
211=0.634719, 0.634719, 0.634719
212=0.641962, 0.641962, 0.641962
213=0.649254, 0.649254, 0.649254
214=0.656594, 0.656594, 0.656594
215=0.663981, 0.663981, 0.663981
216=0.671417, 0.671417, 0.671417
217=0.678902, 0.678902, 0.678902
218=0.686435, 0.686435, 0.686435
219=0.694016, 0.694016, 0.694016
220=0.701646, 0.701646, 0.701646
221=0.709325, 0.709325, 0.709325
222=0.717052, 0.717052, 0.717052
223=0.724828, 0.724828, 0.724828
224=0.732654, 0.732654, 0.732654
225=0.740528, 0.740528, 0.740528
226=0.748452, 0.748452, 0.748452
227=0.756425, 0.756425, 0.756425
228=0.764447, 0.764447, 0.764447
229=0.772518, 0.772518, 0.772518
230=0.780639, 0.780639, 0.780639
231=0.78881, 0.78881, 0.78881
232=0.79703, 0.79703, 0.79703
233=0.8053, 0.8053, 0.8053
234=0.81362, 0.81362, 0.81362
235=0.82199, 0.82199, 0.82199
236=0.83041, 0.83041, 0.83041
237=0.83888, 0.83888, 0.83888
238=0.8474, 0.8474, 0.8474
239=0.85597, 0.85597, 0.85597
240=0.864591, 0.864591, 0.864591
241=0.873262, 0.873262, 0.873262
242=0.881983, 0.881983, 0.881983
243=0.890756, 0.890756, 0.890756
244=0.899579, 0.899579, 0.899579
245=0.908452, 0.908452, 0.908452
246=0.917377, 0.917377, 0.917377
247=0.926352, 0.926352, 0.926352
248=0.935379, 0.935379, 0.935379
249=0.944457, 0.944457, 0.944457
250=0.953585, 0.953585, 0.953585
251=0.962765, 0.962765, 0.962765
252=0.971997, 0.971997, 0.971997
253=0.98128, 0.98128, 0.98128
254=0.990614, 0.990614, 0.990614
255=1, 1, 1
